Names,Links,Emotion,Genre,BPM
Tik Tok,https://www.youtube.com/watch?v=iP6XpLQM2Cs,Happy,4,120
See You Again,https://www.youtube.com/watch?v=RgKAFK5djSk,Sad,2.5,80
Dark Horse,https://www.youtube.com/watch?v=0KSOMA3QBU0,Mood,3.5,132
Thrift Shop,https://www.youtube.com/watch?v=QK8mJJJvaes,Happy,4.5,95
One More Night,https://www.youtube.com/watch?v=fwK7ggA3-bU,Angry,5,93
We Are Young,https://www.youtube.com/watch?v=Sv6dMFF_yts,Sad,2.2,92
That's What I Like,https://www.youtube.com/watch?v=PMivT7MJ41M,Happy,3.5,134
OMFG Hello,https://www.youtube.com/watch?v=ih2xubMaZWI,Happy,5.5,105
All Of Me,https://www.youtube.com/watch?v=450p7goxZqg,Love,1.8,120
Happier,https://www.youtube.com/watch?v=m7Bc3pLyij0,Sad,4.3,126
Shake It Off,https://www.youtube.com/watch?v=nfWlot6h_JM,Happy,4.2,160
One Dance,https://www.youtube.com/watch?v=ki0Ocze98U8,Mood,2.8,104
Radioactive,https://www.youtube.com/watch?v=ktvTqknDobU,Angry,6.4,136
Sexy And I Know It,https://www.youtube.com/watch?v=wyx6JDQCslE,Happy,4.6,130
Someone Like You,https://www.youtube.com/watch?v=hLQl3WQQoQ0,Sad,1.5,135
Counting Stars,https://www.youtube.com/watch?v=hT_nvWreIhg,Happy,5.2,122
Bailando,https://www.youtube.com/watch?v=NUsoVlDFqZg&ab,Happy,4.6,91
My Heart Will Go On,https://www.youtube.com/watch?v=pDwkVKGAVGM,Sad,1,99
Love Yourself,https://www.youtube.com/watch?v=oyEuk8j8imI,Mood,2.5,100
Firework,https://www.youtube.com/watch?v=QGJuMBdaqIw,Happy,3.8,124
Give Me Everything,https://www.youtube.com/watch?v=EPo5wWmKEaI,Happy,5.9,129
Locked Out Of Heaven,https://www.youtube.com/watch?v=e-fA-gBCkj0,Happy,6.1,144
Love The Way You Lie,https://www.youtube.com/watch?v=uelHwf8o7_U,Angry,6.5,87
Thinking Out Loud,https://www.youtube.com/watch?v=lp-EO5I60KA,Love,2.1,79
Sorry,https://www.youtube.com/watch?v=fRh_vgS2dFE,Happy,3.4,100
California Gurls,https://www.youtube.com/watch?v=F57P9C4SAW4,Happy,3.7,125
Dynamite,https://www.youtube.com/watch?v=gdZLi9oWNZg,Happy,3.7,114
Lucid Dreams,https://www.youtube.com/watch?v=_fh64GbFSw4,Sad,3,84
Hello,https://www.youtube.com/watch?v=be12BC5pQLE,Sad,1,158
Work From Home,https://www.youtube.com/watch?v=nEbq342BzZA,Happy,3.6,105
Grenade,https://www.youtube.com/watch?v=yUrzjPjXqqc,Sad,4.1,110
"Hey, Soul Sister",https://www.youtube.com/watch?v=JloUN9j9cJ8,Happy,3.2,97
Let Her Go,https://www.youtube.com/watch?v=jQn_WaMlhqI,Sad,3.1,75
Wake Me Up!,https://www.youtube.com/watch?v=5y_KJAg8bHI,Mood,5,124
Don't Let Me Down,https://www.youtube.com/watch?v=mywyuiAbww4,Happy,5.3,160
Havana,https://www.youtube.com/watch?v=egtD5GfAh58,Mood,3,105
Someone You Loved,https://www.youtube.com/watch?v=FGGo8LFmbjs,Sad,2.1,110
Bad Guy,https://www.youtube.com/watch?v=4-TbQnONe_w,Mood,4.3,135
Fancy,https://www.youtube.com/watch?v=H6FfQyvnBuk,Happy,5.2,95
Show Me The Meaning Of Being Lonely,https://www.youtube.com/watch?v=_HPAuENfHrM,Sad,2.4,168
Story Of My Life,https://www.youtube.com/watch?v=QzpXDtVhAaQ,Sad,3.3,121
Blank Space,https://www.youtube.com/watch?v=IZDReMwYM0Y,Happy,3.3,96
Cheap Thrills,https://www.youtube.com/watch?v=PonUS87Yeqw,Happy,3.1,90
Diamond Heart,https://www.youtube.com/watch?v=TexVzymSwBw,Sad,4.6,90
Shallow,https://www.youtube.com/watch?v=aU_bj9SxvdU,Sad,2.3,96
7 Rings,https://www.youtube.com/watch?v=uDAjINEp8H8,Mood,4.7,140
Stay With Me,https://www.youtube.com/watch?v=-hJgdaAO28Q,Sad,1.6,84
Can't Hold Us,https://www.youtube.com/watch?v=dbevJM-2lcY,Happy,5.6,146
Paradise,https://www.youtube.com/watch?v=PCoQGJDGJJM,Sad,4.1,140
Roar,https://www.youtube.com/watch?v=igIFXcsoQEE,Happy,3.6,90
Rude,https://www.youtube.com/watch?v=NoEMIVx4J78,Happy,4.5,144
"Thank U, Next",https://www.youtube.com/watch?v=EEhZAHZQyf4,Mood,3.5,107
Sugar,https://www.youtube.com/watch?v=N1BcpzPGlYQ,Happy,4,120
Payphone,https://www.youtube.com/watch?v=12gmxhEFeBo,Sad,4.1,110
LaLaLa,https://www.youtube.com/watch?v=2WmBa1CviYE,Sad,4.3,130
Sweet But Psycho,https://www.youtube.com/watch?v=2KBFD0aoZy8&ab_channel=TajTracks,Mood,4.7,133
So What,https://www.youtube.com/watch?v=i92ssWHXQgE,Angry,7,126
Demons,https://www.youtube.com/watch?v=MA0aCUxItYA,Sad,5.2,90
Can't Stop The Feeling,https://www.youtube.com/watch?v=VUdeIFQtDYU,Happy,4.7,113
Cheerleader,https://www.youtube.com/watch?v=VQspRB0ztMw,Happy,3.9,100
Bad Romance,https://www.youtube.com/watch?v=rrlTtWuP-O8,Mood,5.2,119
Sins Not Tragedies,https://www.youtube.com/watch?v=vc6vs-l5dkc,Angry,6.2,170
What Do You Mean,https://www.youtube.com/watch?v=DK_0jXPuIr0,Mood,3,125
This is Gospel,https://www.youtube.com/watch?v=tGE381tbQa8,Sad,5.2,156
Sucker,https://www.youtube.com/watch?v=CnAmeh0-E-U,Happy,3.4,138
High Hopes,https://www.youtube.com/watch?v=IPXIgEAGe4U,Happy,6.1,82
Timber,https://www.youtube.com/watch?v=hHUbLv4ThOo,Happy,4,130
Take Me To Church,https://www.youtube.com/watch?v=PVjiKRfKpPI,Mood,4,129
Hotling Bling,https://www.youtube.com/watch?v=uxpDa-c-4Mc,Mood,3,135
Heathens,https://www.youtube.com/watch?v=UprcpdwuwCg,Angry,6.4,90
Emperor's New Clothes,https://www.youtube.com/watch?v=7qFF2v8VsaA,Angry,7,94
This Is America,https://www.youtube.com/watch?v=VYOjWnS4cMY,Angry,5.9,120
Solo,https://www.youtube.com/watch?v=8JnfIa84TnU,Angry,4.9,105
Break Your Heart,https://www.youtube.com/watch?v=y_SI2EDM6Lo,Happy,5.8,122
In My Feelings,https://www.youtube.com/watch?v=DRS_PpOrUZ4,Happy,3.2,91
Wrecking Ball,https://www.youtube.com/watch?v=My2FRPA3Gf8,Mood,4.1,120
Ho Hey,https://www.youtube.com/watch?v=zvCBSSwgtg4,Sad,3.4,80
